aapl14_1,haiyanhuang,negative,,4,6
aapl14_2,haiyanhuang,negative,,187,189
aapl14_3,haiyanhuang,negative,,284,286
aapl14_4,haiyanhuang,negative,,296,298
aapl14_5,haiyanhuang,positive,,369,370
aapl14_6,jefdhondt,negative,,4,6
aapl14_7,jefdhondt,negative,,187,189
aapl14_8,jefdhondt,negative,,280,283
aapl14_9,jefdhondt,negative,,284,287
aapl14_10,jefdhondt,negative,,295,298
aapl14_11,jefdhondt,negative,,315,317
aapl14_12,jefdhondt,positive,,317,323
aapl14_13,jefdhondt,positive,,364,370
aapl14_14,elinevandewalle,negative,,4,6
aapl14_15,elinevandewalle,negative,,285,286
aapl14_16,elinevandewalle,negative,,294,298
aapl14_17,elinevandewalle,negative,,315,317
aapl14_18,elinevandewalle,positive,,317,323
aapl14_19,elinevandewalle,positive,,366,370
