jnj04_1,haiyanhuang,positive,,6,7
jnj04_2,haiyanhuang,positive,,9,11
jnj04_3,haiyanhuang,negative,,70,71
jnj04_4,haiyanhuang,negative,,200,201
jnj04_5,haiyanhuang,positive,,288,290
jnj04_6,haiyanhuang,positive,,403,404
jnj04_7,haiyanhuang,positive,,417,420
jnj04_8,haiyanhuang,negative,,491,493
jnj04_9,haiyanhuang,positive,,545,550
jnj04_10,elinevandewalle,positive,,6,7
jnj04_11,elinevandewalle,positive,,9,11
jnj04_12,elinevandewalle,negative,,65,71
jnj04_13,elinevandewalle,neutral,,104,112
jnj04_14,elinevandewalle,negative,,197,201
jnj04_15,elinevandewalle,positive,,287,290
jnj04_16,elinevandewalle,positive,,403,405
jnj04_17,elinevandewalle,negative,,488,496
jnj04_18,elinevandewalle,positive,,543,551
jnj04_19,jefdhondt,positive,,9,11
jnj04_20,jefdhondt,positive,,30,33
jnj04_21,jefdhondt,positive,,36,43
jnj04_22,jefdhondt,negative,,69,71
jnj04_23,jefdhondt,negative,,156,161
jnj04_24,jefdhondt,negative,,197,201
jnj04_25,jefdhondt,positive,,288,291
jnj04_26,jefdhondt,positive,,403,405
jnj04_27,jefdhondt,positive,,417,420
jnj04_28,jefdhondt,negative,,491,496
jnj04_29,jefdhondt,positive,,542,547
