bac06_1,haiyanhuang,positive,,136,137
bac06_2,haiyanhuang,positive,,190,195
bac06_3,haiyanhuang,positive,,224,227
bac06_4,haiyanhuang,positive,,235,238
bac06_5,haiyanhuang,neutral,,268,270
bac06_6,haiyanhuang,positive,,342,343
bac06_7,haiyanhuang,positive,,479,481
bac06_8,haiyanhuang,negative,,565,567
bac06_9,haiyanhuang,positive,,604,605
bac06_10,haiyanhuang,positive,,716,718
bac06_11,haiyanhuang,negative,,716,718
bac06_12,haiyanhuang,positive,,836,839
bac06_13,jefdhondt,positive,,136,137
bac06_14,jefdhondt,positive,,189,192
bac06_15,jefdhondt,positive,,231,234
bac06_16,jefdhondt,positive,,286,288
bac06_17,jefdhondt,positive,,293,296
bac06_18,jefdhondt,positive,,321,326
bac06_19,jefdhondt,positive,,342,345
bac06_20,jefdhondt,positive,,603,613
bac06_21,jefdhondt,negative,,854,856
bac06_22,elinevandewalle,negative,,3,4
bac06_23,elinevandewalle,negative,,17,18
bac06_24,elinevandewalle,positive,,17,18
bac06_25,elinevandewalle,negative,,53,55
bac06_26,elinevandewalle,negative,,96,97
bac06_27,elinevandewalle,positive,,132,137
bac06_28,elinevandewalle,negative,,286,288
bac06_29,elinevandewalle,positive,,293,296
bac06_30,elinevandewalle,positive,,321,326
bac06_31,elinevandewalle,negative,,334,336
bac06_32,elinevandewalle,positive,,342,343
bac06_33,elinevandewalle,negative,,476,481
bac06_34,elinevandewalle,positive,,604,613
bac06_35,elinevandewalle,positive,,642,650
bac06_36,elinevandewalle,negative,,716,718
bac06_37,elinevandewalle,positive,,716,718
