cvx05_1,haiyanhuang,positive,,6,12
cvx05_2,haiyanhuang,positive,,35,46
cvx05_3,haiyanhuang,negative,,62,63
cvx05_4,haiyanhuang,negative,,140,142
cvx05_5,haiyanhuang,positive,,431,433
cvx05_6,haiyanhuang,negative,,611,612
cvx05_7,elinevandewalle,positive,,6,12
cvx05_8,elinevandewalle,positive,,33,41
cvx05_9,elinevandewalle,positive,,43,44
cvx05_10,elinevandewalle,negative,,138,142
cvx05_11,elinevandewalle,positive,,211,213
cvx05_12,elinevandewalle,positive,,320,330
cvx05_13,elinevandewalle,positive,,551,554
cvx05_14,elinevandewalle,negative,,551,554
cvx05_15,elinevandewalle,negative,,609,612
cvx05_16,elinevandewalle,negative,,644,659
cvx05_17,elinevandewalle,negative,,676,679
cvx05_18,elinevandewalle,positive,,687,689
cvx05_19,jefdhondt,positive,,10,12
cvx05_20,jefdhondt,negative,,31,34
cvx05_21,jefdhondt,positive,,84,88
cvx05_22,jefdhondt,negative,,92,98
cvx05_23,jefdhondt,neutral,,140,142
cvx05_24,jefdhondt,positive,,295,299
cvx05_25,jefdhondt,positive,,305,307
cvx05_26,jefdhondt,negative,,308,309
cvx05_27,jefdhondt,positive,,428,433
cvx05_28,jefdhondt,positive,,434,436
cvx05_29,jefdhondt,positive,,651,659
cvx05_30,jefdhondt,positive,,684,689
