amzn14_1,jefdhondt,positive,,15,17
amzn14_2,jefdhondt,positive,,71,76
amzn14_3,jefdhondt,positive,,212,215
amzn14_4,jefdhondt,positive,,241,246
amzn14_5,haiyanhuang,positive,,15,17
amzn14_6,haiyanhuang,positive,,210,215
amzn14_7,haiyanhuang,positive,,241,246
amzn14_8,haiyanhuang,positive,,290,293
amzn14_9,haiyanhuang,positive,,317,319
amzn14_10,elinevandewalle,positive,,1,9
amzn14_11,elinevandewalle,positive,,15,17
amzn14_12,elinevandewalle,positive,,71,76
amzn14_13,elinevandewalle,positive,,172,174
amzn14_14,elinevandewalle,positive,,210,215
