wmt07_1,elinevandewalle,negative,,5,9
wmt07_2,elinevandewalle,negative,,88,91
wmt07_3,elinevandewalle,positive,,138,141
wmt07_4,elinevandewalle,positive,,394,402
wmt07_5,elinevandewalle,positive,,675,678
wmt07_6,jefdhondt,positive,,7,9
wmt07_7,jefdhondt,positive,,137,141
wmt07_8,jefdhondt,negative,,538,539
wmt07_9,jefdhondt,positive,,676,678
wmt07_10,haiyanhuang,positive,,8,9
wmt07_11,haiyanhuang,positive,,270,275
wmt07_12,haiyanhuang,positive,,434,435
wmt07_13,haiyanhuang,positive,,496,500
wmt07_14,haiyanhuang,positive,,644,647
wmt07_15,haiyanhuang,positive,,688,691
