wmt06_1,elinevandewalle,positive,,5,8
wmt06_2,elinevandewalle,positive,,24,28
wmt06_3,elinevandewalle,positive,,35,39
wmt06_4,elinevandewalle,positive,,45,49
wmt06_5,elinevandewalle,positive,,67,71
wmt06_6,elinevandewalle,positive,,155,157
wmt06_7,elinevandewalle,negative,,264,267
wmt06_8,elinevandewalle,neutral,,312,318
wmt06_9,elinevandewalle,positive,,355,368
wmt06_10,elinevandewalle,negative,,409,410
wmt06_11,jefdhondt,positive,,5,8
wmt06_12,jefdhondt,positive,,26,28
wmt06_13,jefdhondt,positive,,35,39
wmt06_14,jefdhondt,positive,,45,49
wmt06_15,jefdhondt,positive,,65,67
wmt06_16,jefdhondt,positive,,69,71
wmt06_17,jefdhondt,positive,,181,184
wmt06_18,jefdhondt,positive,,210,214
wmt06_19,jefdhondt,negative,,263,267
wmt06_20,jefdhondt,positive,,314,315
wmt06_21,jefdhondt,negative,,316,318
wmt06_22,jefdhondt,positive,,354,356
wmt06_23,jefdhondt,positive,,363,368
wmt06_24,jefdhondt,negative,,404,406
wmt06_25,haiyanhuang,positive,,7,8
wmt06_26,haiyanhuang,positive,,26,28
wmt06_27,haiyanhuang,positive,,35,37
wmt06_28,haiyanhuang,positive,,47,49
wmt06_29,haiyanhuang,positive,,69,71
wmt06_30,haiyanhuang,positive,,183,191
wmt06_31,haiyanhuang,positive,,210,214
wmt06_32,haiyanhuang,negative,,264,267
wmt06_33,haiyanhuang,neutral,,313,318
wmt06_34,haiyanhuang,positive,,354,356
wmt06_35,haiyanhuang,positive,,362,368
