ba14_1,elinevandewalle,positive,,15,17
ba14_2,elinevandewalle,negative,,15,17
ba14_3,elinevandewalle,negative,,55,58
ba14_4,elinevandewalle,negative,,63,70
ba14_5,elinevandewalle,negative,,89,91
ba14_6,elinevandewalle,positive,,143,148
ba14_7,elinevandewalle,negative,,184,185
ba14_8,elinevandewalle,positive,,189,190
ba14_9,elinevandewalle,negative,,223,224
ba14_10,elinevandewalle,positive,,223,224
ba14_11,elinevandewalle,negative,,240,242
ba14_12,elinevandewalle,negative,,245,247
ba14_13,elinevandewalle,negative,,263,268
ba14_14,elinevandewalle,positive,,283,286
ba14_15,elinevandewalle,positive,,313,319
ba14_16,elinevandewalle,positive,,357,359
ba14_17,elinevandewalle,negative,,369,371
ba14_18,elinevandewalle,negative,,395,397
ba14_19,elinevandewalle,positive,,447,448
ba14_20,elinevandewalle,neutral,,507,512
ba14_21,elinevandewalle,positive,,529,533
ba14_22,elinevandewalle,positive,,549,557
ba14_23,elinevandewalle,positive,,556,557
ba14_24,elinevandewalle,negative,,556,557
ba14_25,elinevandewalle,negative,,624,629
ba14_26,elinevandewalle,positive,,637,642
ba14_27,elinevandewalle,negative,,637,642
ba14_28,jefdhondt,negative,,55,58
ba14_29,jefdhondt,positive,,105,107
ba14_30,jefdhondt,positive,,143,148
ba14_31,jefdhondt,negative,,240,242
ba14_32,jefdhondt,negative,,245,247
ba14_33,jefdhondt,positive,,317,319
ba14_34,jefdhondt,negative,,317,319
ba14_35,jefdhondt,positive,,357,359
ba14_36,jefdhondt,negative,,395,397
ba14_37,jefdhondt,positive,,411,413
ba14_38,jefdhondt,positive,,431,434
ba14_39,jefdhondt,positive,,529,533
ba14_40,jefdhondt,positive,,618,620
ba14_41,jefdhondt,positive,,639,640
ba14_42,jefdhondt,positive,,648,655
ba14_43,haiyanhuang,positive,,16,17
ba14_44,haiyanhuang,negative,,16,17
ba14_45,haiyanhuang,positive,,33,35
ba14_46,haiyanhuang,negative,,56,58
ba14_47,haiyanhuang,positive,,105,107
ba14_48,haiyanhuang,positive,,140,148
ba14_49,haiyanhuang,negative,,184,185
ba14_50,haiyanhuang,negative,,189,190
ba14_51,haiyanhuang,positive,,233,239
ba14_52,haiyanhuang,negative,,240,242
ba14_53,haiyanhuang,negative,,267,268
ba14_54,haiyanhuang,positive,,285,286
ba14_55,haiyanhuang,positive,,317,319
ba14_56,haiyanhuang,positive,,356,359
ba14_57,haiyanhuang,negative,,378,380
ba14_58,haiyanhuang,negative,,395,397
ba14_59,haiyanhuang,positive,,431,434
ba14_60,haiyanhuang,positive,,503,504
ba14_61,haiyanhuang,negative,,503,504
ba14_62,haiyanhuang,positive,,529,533
ba14_63,haiyanhuang,positive,,543,545
ba14_64,haiyanhuang,positive,,551,557
ba14_65,haiyanhuang,positive,,619,620
ba14_66,haiyanhuang,negative,,648,655
