f15_1,elinevandewalle,negative,,6,7
f15_2,elinevandewalle,positive,,8,9
f15_3,elinevandewalle,negative,,64,71
f15_4,elinevandewalle,positive,,88,89
f15_5,elinevandewalle,negative,,113,114
f15_6,elinevandewalle,positive,,121,123
f15_7,elinevandewalle,neutral,,123,130
f15_8,elinevandewalle,neutral,,141,145
f15_9,elinevandewalle,negative,,166,171
f15_10,elinevandewalle,negative,,195,197
f15_11,elinevandewalle,negative,,227,230
f15_12,elinevandewalle,negative,,232,235
f15_13,elinevandewalle,negative,,252,253
f15_14,elinevandewalle,negative,,272,278
f15_15,elinevandewalle,negative,,297,302
f15_16,elinevandewalle,positive,,304,306
f15_17,elinevandewalle,positive,,314,315
f15_18,elinevandewalle,positive,,320,327
f15_19,elinevandewalle,positive,,330,341
f15_20,elinevandewalle,positive,,348,351
f15_21,elinevandewalle,positive,,423,424
f15_22,elinevandewalle,positive,,601,603
f15_23,elinevandewalle,positive,,666,673
f15_24,elinevandewalle,positive,,724,727
f15_25,elinevandewalle,positive,,735,737
f15_26,elinevandewalle,negative,,741,743
f15_27,elinevandewalle,negative,,830,831
f15_28,elinevandewalle,positive,,833,836
f15_29,haiyanhuang,negative,,6,7
f15_30,haiyanhuang,positive,,8,9
f15_31,haiyanhuang,negative,,70,71
f15_32,haiyanhuang,negative,,80,81
f15_33,haiyanhuang,negative,,142,143
f15_34,haiyanhuang,positive,,144,145
f15_35,haiyanhuang,negative,,170,171
f15_36,haiyanhuang,negative,,229,230
f15_37,haiyanhuang,positive,,241,246
f15_38,haiyanhuang,negative,,241,246
f15_39,haiyanhuang,negative,,252,253
f15_40,haiyanhuang,positive,,298,302
f15_41,haiyanhuang,negative,,298,302
f15_42,haiyanhuang,positive,,314,315
f15_43,haiyanhuang,positive,,320,327
f15_44,haiyanhuang,positive,,333,341
f15_45,haiyanhuang,positive,,348,351
f15_46,haiyanhuang,positive,,461,469
f15_47,haiyanhuang,positive,,601,603
f15_48,haiyanhuang,positive,,654,656
f15_49,haiyanhuang,positive,,666,673
f15_50,haiyanhuang,positive,,726,727
f15_51,haiyanhuang,positive,,736,743
f15_52,haiyanhuang,negative,,830,831
f15_53,haiyanhuang,positive,,835,836
f15_54,jefdhondt,negative,,4,7
f15_55,jefdhondt,positive,,8,9
f15_56,jefdhondt,negative,,70,71
f15_57,jefdhondt,negative,,80,81
f15_58,jefdhondt,negative,,142,143
f15_59,jefdhondt,positive,,144,145
f15_60,jefdhondt,negative,,166,171
f15_61,jefdhondt,negative,,195,197
f15_62,jefdhondt,negative,,227,230
f15_63,jefdhondt,negative,,274,281
f15_64,jefdhondt,positive,,286,290
f15_65,jefdhondt,positive,,304,306
f15_66,jefdhondt,positive,,309,313
f15_67,jefdhondt,positive,,320,327
f15_68,jefdhondt,positive,,331,341
f15_69,jefdhondt,positive,,461,469
f15_70,jefdhondt,positive,,601,603
f15_71,jefdhondt,positive,,666,668
f15_72,jefdhondt,positive,,738,743
f15_73,jefdhondt,positive,,831,836
