duk05_1,elinevandewalle,negative,,4,8
duk05_2,elinevandewalle,negative,,20,25
duk05_3,elinevandewalle,negative,,64,68
duk05_4,elinevandewalle,negative,,142,143
duk05_5,elinevandewalle,negative,,155,156
duk05_6,haiyanhuang,negative,,7,8
duk05_7,haiyanhuang,negative,,22,25
duk05_8,haiyanhuang,negative,,53,58
duk05_9,haiyanhuang,positive,,53,58
duk05_10,haiyanhuang,negative,,64,68
duk05_11,haiyanhuang,negative,,142,143
duk05_12,haiyanhuang,negative,,155,156
duk05_13,haiyanhuang,negative,,258,259
duk05_14,jefdhondt,negative,,64,68
duk05_15,jefdhondt,negative,,155,156
