nem05_1,haiyanhuang,neutral,,3,6
nem05_2,haiyanhuang,negative,,32,33
nem05_3,haiyanhuang,positive,,32,33
nem05_4,haiyanhuang,positive,,67,68
nem05_5,haiyanhuang,negative,,67,68
nem05_6,haiyanhuang,positive,,132,133
nem05_7,haiyanhuang,negative,,132,133
nem05_8,haiyanhuang,positive,,235,239
nem05_9,haiyanhuang,negative,,235,239
nem05_10,haiyanhuang,positive,,246,249
nem05_11,haiyanhuang,positive,,312,315
nem05_12,haiyanhuang,negative,,312,315
nem05_13,elinevandewalle,positive,,32,33
nem05_14,elinevandewalle,negative,,32,33
nem05_15,elinevandewalle,positive,,38,45
nem05_16,elinevandewalle,positive,,90,92
nem05_17,elinevandewalle,negative,,90,92
nem05_18,elinevandewalle,positive,,132,133
nem05_19,elinevandewalle,positive,,235,239
nem05_20,elinevandewalle,negative,,235,239
nem05_21,jefdhondt,positive,,3,6
nem05_22,jefdhondt,positive,,229,231
